group_type,group,frame,rank,tfidf,distilbert
province,adiyaman,technical,1,deprem,vatandaşımızın
province,adiyaman,technical,2,vatandaşlarımızın,yapı
province,adiyaman,technical,3,çalışmalar,kentsel
province,adiyaman,technical,4,konut,deği̇şi̇kli̇ği̇
province,adiyaman,technical,5,su,bakani
province,adiyaman,technical,6,şekilde,dünyayı
province,adiyaman,technical,7,ndere,milletimizin
province,adiyaman,technical,8,şehircilik,sağlam
province,adiyaman,technical,9,inşa,projesi̇
province,adiyaman,technical,10,dönüşüm,nde
province,adiyaman,political,1,deprem,binaların
province,adiyaman,political,2,eden,projesi
province,adiyaman,political,3,taleplerini,unsurların
province,adiyaman,political,4,depremzede,vatandaşımızın
province,adiyaman,political,5,dedi,önümüzde
province,adiyaman,political,6,an,ezelden
province,adiyaman,political,7,allah,kalbi̇
province,adiyaman,political,8,araya,konuştu
province,adiyaman,political,9,şehircilik,meydan
province,adiyaman,political,10,bugün,töreni
province,adiyaman,development,1,dr osman,vatandaşımızın
province,adiyaman,development,2,ilçe,projesi̇
province,adiyaman,development,3,alan,sağlam
province,adiyaman,development,4,konut,bakani
province,adiyaman,development,5,deprem,yapımı
province,adiyaman,development,6,yerinde,incelemelerde
province,adiyaman,development,7,ayağa,bayramı
province,adiyaman,development,8,yaşam,adiyaman
province,adiyaman,development,9,konteyner,dünyayı
province,adiyaman,development,10,alt,şan
province,adiyaman,sustainability,1,çevre,sınavı
province,adiyaman,sustainability,2,klim,yükseköğretim
province,adiyaman,sustainability,3,alan,emlak
province,adiyaman,sustainability,4,çalışmalar,birlikte
province,adiyaman,sustainability,5,kli,açıkladı
province,adiyaman,sustainability,6,söyledi,incelemelerde
province,adiyaman,sustainability,7,dedi,yana
province,adiyaman,sustainability,8,ni,yardımcısı
province,adiyaman,sustainability,9,yaşam,dünyayı
province,adiyaman,sustainability,10,su,kalıcı
